Cell,Type
B05170707P3,L3_Cux2_Prss12
F10MGE171027P3,L3_Cux2_Prss12
G05170707P3,L3_Cux2_Prss12
F07170918P3,L3_Cux2_Prss12
A01170918P3,L3_Cux2_Prss12
E03170707P3,L3_Cux2_Prss12
C05170918P3,L3_Cux2_Prss12
G01170707P3,L3_Cux2_Prss12
B08170918P3,L3_Cux2_Prss12
A08NeuN171115P1,L3_Cux2_Prss12
C07170707P3,L3_Cux2_Prss12
A02170918P3,L3_Cux2_Prss12
F01170707P3,L2_3_Cux2_Frem3
C09170918P2,L3_Cux2_Prss12
D05170918P3,L3_Cux2_Prss12
D05170707P3,L3_Cux2_Prss12
H03170918P3,L3_Cux2_Prss12
G08170918P2,L2_3_Cux2_Frem3
G03170707P3,L3_Cux2_Prss12
A11170707P1,L2_3_Cux2_Frem3
B09HB47NeoCP8,L2_Cux2_Lamp5
C03170918P3,L2_3_Cux2_Frem3
G17HB47NeoCP10,L2_Cux2_Lamp5
H07HB47NeoCP4BSA,L2_Cux2_Lamp5
A04HB47NeoCP8,L2_Cux2_Lamp5
E08170707P3,L2_3_Cux2_Frem3
B18HB47NeoCP7Add,L2_Cux2_Lamp5
G21HB47NeoCP10,L2_Cux2_Lamp5
E02MGE171027P1,L2_Cux2_Lamp5
A04HB47NeoCP4,L2_Cux2_Lamp5
H07NeuN171115P1,L2_Cux2_Lamp5
F02HB47NeoCP4,L2_Cux2_Lamp5
A05170707P3,L2_Cux2_Lamp5
G07170707P3,L2_3_Cux2_Frem3
E12HB47NeoCP9,L2_Cux2_Lamp5
E07170918P3,L2_3_Cux2_Frem3
A03170918P3,L2_Cux2_Lamp5
D02170918P3,L2_3_Cux2_Frem3
A06HB47NeoCP4,L2_Cux2_Lamp5
E06170918P3,L2_3_Cux2_Frem3
G02170707P3,L2_3_Cux2_Frem3
F09HB47NeoCP6BSA,L2_Cux2_Lamp5
A07170707P3,L2_3_Cux2_Frem3
E10HB47NeoCP8,Vip_Tyr
B07170707P3,L2_3_Cux2_Frem3
G04170918P3,L2_3_Cux2_Frem3
E03HB47NeoCP4,L2_Cux2_Lamp5
A01HB47NeoCP1,L2_Cux2_Lamp5
G21HB47NeoCP7,L2_Cux2_Lamp5
C01170918P3,L2_Cux2_Lamp5
E04MGE171027P1,L2_Cux2_Lamp5
A04170918P3,L2_3_Cux2_Frem3
A14HB47NeoCP6BSA,L2_Cux2_Lamp5
E05170918P3,L3_Cux2_Prss12
A13HB47NeoCP9,L2_Cux2_Lamp5
A07170918P3,L2_3_Cux2_Frem3
B01170918P3,L2_3_Cux2_Frem3
F01MGE171027P1,L2_Cux2_Lamp5
H05170918P3,L2_Cux2_Lamp5
H04HB47NeoCP8,L2_Cux2_Lamp5
H07170707P3,L2_Cux2_Lamp5
C15HB47NeoCP6BSA,L2_Cux2_Lamp5
A10170707P1,L2_3_Cux2_Frem3
G09170707P2,L2_Cux2_Lamp5
B08170707P3,L2_3_Cux2_Frem3
E15HB47NeoCP9,L2_Cux2_Lamp5
F10HB47NeoCP8,L2_Cux2_Lamp5
F04170707P3,L2_3_Cux2_Frem3
